G,D,H,N,SDI,A,SCI
29.0 ,30.6,18.5,395 ,782 ,77 ,11.3 
42.0 ,27.7,18.5,697 ,1177 ,77 ,11.3 
35.5 ,23.4,20,826 ,1063 ,71 ,12.6 
23.5 ,33.2,19.5,272 ,614 ,99 ,11.1 
37.0 ,22.1,19.5,965 ,1133 ,59 ,13.1 
23.0 ,17.1,12,1002 ,779 ,32 ,11.5 
25.5 ,23.8,8.2,573 ,759 ,42 ,6.5 
19.5 ,25.3,11.8,388 ,566 ,45 ,9.1 
17.0 ,25,12.3,346 ,496 ,44 ,9.5 
28.0 ,23.2,10.5,663 ,841 ,53 ,7.4 
25.5 ,22.6,13.5,636 ,774 ,47 ,10.1 
21.0 ,18.5,10.6,782 ,690 ,30 ,10.5 
17.5 ,25.7,14.5,338 ,505 ,50 ,10.5 
17.0 ,25.7,14.5,328 ,491 ,50 ,10.5 
21.0 ,18.5,10.6,782 ,690 ,30 ,10.5 
17.5 ,25.7,14.5,338 ,505 ,50 ,10.5 
17.0 ,25.7,14.5,328 ,491 ,50 ,10.5 
24,19,9.8,847 ,780 ,32 ,9.3 
27,16,9.5,1344 ,938 ,33 ,8.8 
25,21.2,11.8,709 ,778 ,40 ,9.6 
22.5,19.5,7.5,754 ,724 ,29 ,7.6 
32.5,25.8,14,622 ,937 ,58 ,9.5 
17.5 ,38.7,14,149 ,430 ,67 ,9.0 
11.5 ,36.2,13.5,112 ,290 ,55 ,9.4 
14.0 ,26,13.8,264 ,402 ,50 ,10.0 
17.5 ,29.4,13.8,258 ,479 ,54 ,9.7 
18.0 ,19.6,10,597 ,578 ,30 ,9.9 
19.0 ,28,11.8,309 ,530 ,52 ,8.4 
11.5 ,18.3,12.8,437 ,379 ,34 ,11.7 
14.5 ,24.5,13.8,308 ,426 ,46 ,10.4 
13.5 ,42.5,13.5,95 ,320 ,48 ,9.9 
15.0 ,24.1,12.7,329 ,444 ,43 ,10.0 
15.5 ,26,13.8,292 ,445 ,50 ,10.0 
23.5 ,16.5,11.8,1100 ,807 ,31 ,11.5 
21.0 ,20.7,11.5,624 ,660 ,35 ,10.2 
